vgs	-I(Vds)
Step Information: Vds=600m  (Run: 1/41)
4.000000000000001e-001	8.411802e-006
4.200000000000001e-001	1.183606e-005
4.400000000000001e-001	1.622661e-005
4.600000000000001e-001	2.167117e-005
4.800000000000002e-001	2.821214e-005
5.000000000000001e-001	3.584669e-005
5.200000000000001e-001	4.453417e-005
5.400000000000002e-001	5.420753e-005
5.600000000000002e-001	6.478502e-005
5.800000000000002e-001	7.617992e-005
6.000000000000002e-001	8.830732e-005
6.200000000000002e-001	1.010882e-004
6.400000000000002e-001	1.144514e-004
6.600000000000003e-001	1.283338e-004
6.800000000000003e-001	1.426802e-004
7.000000000000003e-001	1.574425e-004
7.200000000000003e-001	1.725785e-004
7.400000000000003e-001	1.880512e-004
7.600000000000003e-001	2.038280e-004
7.800000000000004e-001	2.198799e-004
8.000000000000004e-001	2.361808e-004
8.200000000000004e-001	2.527075e-004
8.400000000000004e-001	2.694385e-004
8.600000000000004e-001	2.863545e-004
8.800000000000005e-001	3.034378e-004
9.000000000000005e-001	3.206719e-004
9.200000000000005e-001	3.380417e-004
9.400000000000005e-001	3.555332e-004
9.600000000000005e-001	3.731333e-004
9.800000000000005e-001	3.908299e-004
1.000000000000000e+000	4.086115e-004
1.020000000000001e+000	4.264674e-004
1.040000000000001e+000	4.443878e-004
1.060000000000001e+000	4.623631e-004
1.080000000000001e+000	4.803844e-004
1.100000000000001e+000	4.984433e-004
1.120000000000001e+000	5.165318e-004
1.140000000000001e+000	5.346421e-004
1.160000000000001e+000	5.527673e-004
1.180000000000001e+000	5.709002e-004
1.200000000000001e+000	5.890339e-004
1.220000000000001e+000	6.071623e-004
1.240000000000001e+000	6.252788e-004
1.260000000000001e+000	6.433774e-004
1.280000000000001e+000	6.614518e-004
1.300000000000001e+000	6.794963e-004
1.320000000000001e+000	6.975047e-004
1.340000000000001e+000	7.154712e-004
1.360000000000001e+000	7.333896e-004
1.380000000000001e+000	7.512539e-004
1.400000000000001e+000	7.690578e-004
1.420000000000001e+000	7.867948e-004
1.440000000000001e+000	8.044582e-004
1.460000000000001e+000	8.220411e-004
1.480000000000001e+000	8.395362e-004
1.500000000000001e+000	8.569357e-004
1.520000000000001e+000	8.742317e-004
1.540000000000001e+000	8.914155e-004
1.560000000000001e+000	9.084779e-004
1.580000000000001e+000	9.254095e-004
1.600000000000001e+000	9.422001e-004
1.620000000000001e+000	9.588390e-004
1.640000000000001e+000	9.753148e-004
1.660000000000001e+000	9.916160e-004
1.680000000000001e+000	1.007731e-003
1.700000000000001e+000	1.023646e-003
1.720000000000001e+000	1.039351e-003
1.740000000000001e+000	1.054831e-003
1.760000000000001e+000	1.070076e-003
1.780000000000001e+000	1.085074e-003
1.800000000000000e+000	1.099814e-003
Step Information: Vds=810m  (Run: 8/41)
0.000000000000000e+000	2.158875e-010
2.000000000000000e-002	3.989098e-010
4.000000000000000e-002	7.365684e-010
6.000000000000000e-002	1.357908e-009
8.000000000000000e-002	2.497348e-009
1.000000000000000e-001	4.577479e-009
1.200000000000000e-001	8.352459e-009
1.400000000000000e-001	1.515068e-008
1.600000000000000e-001	2.727329e-008
1.800000000000000e-001	4.862439e-008
2.000000000000000e-001	8.566307e-008
2.200000000000000e-001	1.487684e-007
2.400000000000000e-001	2.540939e-007
2.600000000000000e-001	4.259701e-007
2.800000000000000e-001	6.999116e-007
3.000000000000000e-001	1.126260e-006
3.200000000000000e-001	1.774279e-006
3.400000000000000e-001	2.735872e-006
3.600000000000000e-001	4.127124e-006
3.800000000000001e-001	6.085167e-006
4.000000000000001e-001	8.758511e-006
4.200000000000001e-001	1.229134e-005
4.400000000000001e-001	1.680526e-005
4.600000000000001e-001	2.238393e-005
4.800000000000002e-001	2.906507e-005
5.000000000000001e-001	3.684137e-005
5.200000000000001e-001	4.566859e-005
5.400000000000002e-001	5.547714e-005
5.600000000000002e-001	6.618381e-005
5.800000000000002e-001	7.770120e-005
6.000000000000002e-001	8.994439e-005
6.200000000000002e-001	1.028347e-004
6.400000000000002e-001	1.163013e-004
6.600000000000003e-001	1.302818e-004
6.800000000000003e-001	1.447215e-004
7.000000000000003e-001	1.595728e-004
7.200000000000003e-001	1.747940e-004
7.400000000000003e-001	1.903485e-004
7.600000000000003e-001	2.062041e-004
7.800000000000004e-001	2.223322e-004
8.000000000000004e-001	2.387070e-004
8.200000000000004e-001	2.553054e-004
8.400000000000004e-001	2.721064e-004
8.600000000000004e-001	2.890908e-004
8.800000000000005e-001	3.062410e-004
9.000000000000005e-001	3.235410e-004
9.200000000000005e-001	3.409756e-004
9.400000000000005e-001	3.585313e-004
9.600000000000005e-001	3.761949e-004
9.800000000000005e-001	3.939545e-004
1.000000000000000e+000	4.117990e-004
1.020000000000001e+000	4.297179e-004
1.040000000000001e+000	4.477013e-004
1.060000000000001e+000	4.657401e-004
1.080000000000001e+000	4.838255e-004
1.100000000000001e+000	5.019493e-004
1.120000000000001e+000	5.201038e-004
1.140000000000001e+000	5.382816e-004
1.160000000000001e+000	5.564758e-004
1.180000000000001e+000	5.746796e-004
1.200000000000001e+000	5.928867e-004
1.220000000000001e+000	6.110910e-004
1.240000000000001e+000	6.292865e-004
1.260000000000001e+000	6.474674e-004
1.280000000000001e+000	6.656284e-004
1.300000000000001e+000	6.837637e-004
1.320000000000001e+000	7.018681e-004
1.340000000000001e+000	7.199363e-004
1.360000000000001e+000	7.379630e-004
1.380000000000001e+000	7.559427e-004
1.400000000000001e+000	7.738702e-004
1.420000000000001e+000	7.917400e-004
1.440000000000001e+000	8.095465e-004
1.460000000000001e+000	8.272839e-004
1.480000000000001e+000	8.449462e-004
1.500000000000001e+000	8.625273e-004
1.520000000000001e+000	8.800205e-004
1.540000000000001e+000	8.974190e-004
1.560000000000001e+000	9.147155e-004
1.580000000000001e+000	9.319023e-004
1.600000000000001e+000	9.489712e-004
1.620000000000001e+000	9.659136e-004
