vds	abs(I(Vds))
Step Information: Vgs=600m  (Run: 1/5)
1.400000000000001e+000	1.221791e-003
1.420000000000001e+000	1.224769e-003
1.440000000000001e+000	1.227739e-003
1.460000000000001e+000	1.230703e-003
1.480000000000001e+000	1.233661e-003
1.500000000000001e+000	1.236614e-003
1.520000000000001e+000	1.239563e-003
1.540000000000001e+000	1.242508e-003
1.560000000000001e+000	1.245450e-003
1.580000000000001e+000	1.248389e-003
1.600000000000001e+000	1.251325e-003
1.620000000000001e+000	1.254259e-003
1.640000000000001e+000	1.257192e-003
1.660000000000001e+000	1.260122e-003
1.680000000000001e+000	1.263052e-003
1.700000000000001e+000	1.265980e-003
1.720000000000001e+000	1.268908e-003
1.740000000000001e+000	1.271836e-003
1.760000000000001e+000	1.274763e-003
1.780000000000001e+000	1.277689e-003
1.800000000000000e+000	1.280616e-003
