vds	d(abs(I(Vds)))/d(VDS)
Step Information: Vgs=600m  (Run: 1/5)
4.000000000000001e-001	1.357103e-003
4.200000000000001e-001	1.306405e-003
4.400000000000001e-001	1.256139e-003
4.600000000000001e-001	1.206226e-003
4.800000000000002e-001	1.156582e-003
5.000000000000001e-001	1.107102e-003
5.200000000000001e-001	1.057668e-003
5.400000000000002e-001	1.008154e-003
5.600000000000002e-001	9.584168e-004
5.800000000000002e-001	9.083044e-004
6.000000000000002e-001	8.576768e-004
6.200000000000002e-001	8.064177e-004
6.400000000000002e-001	7.544761e-004
6.600000000000003e-001	7.019291e-004
6.800000000000003e-001	6.490212e-004
7.000000000000003e-001	5.962327e-004
7.200000000000003e-001	5.443144e-004
7.400000000000003e-001	4.942151e-004
7.600000000000003e-001	4.469766e-004
7.800000000000004e-001	4.035624e-004
8.000000000000004e-001	3.646623e-004
8.200000000000004e-001	3.306108e-004
8.400000000000004e-001	3.013905e-004
8.600000000000004e-001	2.766959e-004
8.800000000000005e-001	2.560380e-004
9.000000000000005e-001	2.388639e-004
9.200000000000005e-001	2.246321e-004
9.400000000000005e-001	2.128421e-004
9.600000000000005e-001	2.030516e-004
9.800000000000005e-001	1.948909e-004
1.000000000000000e+000	1.880690e-004
1.020000000000001e+000	1.823355e-004
1.040000000000001e+000	1.774926e-004
1.060000000000001e+000	1.733832e-004
1.080000000000001e+000	1.698732e-004
1.100000000000001e+000	1.668697e-004
1.120000000000001e+000	1.642853e-004
1.140000000000001e+000	1.620501e-004
1.160000000000001e+000	1.601089e-004
1.180000000000001e+000	1.584180e-004
1.200000000000001e+000	1.569424e-004
1.220000000000001e+000	1.556473e-004
1.240000000000001e+000	1.545093e-004
1.260000000000001e+000	1.535052e-004
1.280000000000001e+000	1.526205e-004
1.300000000000001e+000	1.518405e-004
1.320000000000001e+000	1.511478e-004
1.340000000000001e+000	1.505308e-004
1.360000000000001e+000	1.499866e-004
1.380000000000001e+000	1.495035e-004
1.400000000000001e+000	1.490698e-004
1.420000000000001e+000	1.486915e-004
1.440000000000001e+000	1.483539e-004
1.460000000000001e+000	1.480512e-004
1.480000000000001e+000	1.477863e-004
1.500000000000001e+000	1.475535e-004
1.520000000000001e+000	1.473498e-004
1.540000000000001e+000	1.471693e-004
1.560000000000001e+000	1.470122e-004
1.580000000000001e+000	1.468754e-004
1.600000000000001e+000	1.467590e-004
1.620000000000001e+000	1.466600e-004
1.640000000000001e+000	1.465756e-004
1.660000000000001e+000	1.465087e-004
1.680000000000001e+000	1.464534e-004
1.700000000000001e+000	1.464097e-004
1.720000000000001e+000	1.463777e-004
1.740000000000001e+000	1.463573e-004
1.760000000000001e+000	1.463457e-004
1.780000000000001e+000	1.463428e-004
1.800000000000000e+000	1.463457e-004
